prompt1,prompt2,label
a yellow flower dancing happily in the garden under clear sky,a white house reading a book at the park,0
a silver laptop dancing happily on the mountain at dawn,a glass window swimming in the lake in the garden during storm,0
a red bicycle swimming in the lake by the lake,a scarlet bike swimming in the lake by the lake,1
a silver laptop dancing happily on the beach at dawn,a yellow flower cooking dinner on the beach,0
a wooden chair flying in the sky near the river,a wooden chair flying in the sky next to the river,1
a blue car climbing the mountain beside the road,a brown dog playing music near the river at dawn,0
a glass window running in the park in the garden,a glass window jogging in the park in the garden,1
a black cat playing music in the forest,a black kitten playing music in the forest,1
a brown dog sleeping on the couch under a tree,a red bicycle flying in the sky at the park under clear sky,0
a glass window cooking dinner near the river at dawn,a glass window cooking dinner near the river at dawn,1
a wooden chair walking slowly in the city during sunset,a green tree flying in the sky on the beach,0
a white house flying in the sky on the beach in the rain,a yellow flower sleeping on the couch on the mountain,0
a white house swimming in the lake in the forest,a white dwelling swimming in the lake in the forest,1
a blue car sleeping on the couch beside the road,"positioned on the couch beside the road, a blue car sleeping",1
a yellow flower swimming in the lake in the city in the snow,a yellow flower playing music on the mountain,0
a brown dog sleeping on the couch on the beach,a glass window reading a book near the river,0
a white house sleeping on the couch under a tree,a glass window playing music in the forest in the snow,0
a silver laptop playing music under a tree,a blue car sleeping on the couch at the park during storm,0
a wooden chair climbing the mountain under a tree,a glass window cooking dinner under a tree during sunset,0
a red bicycle climbing the mountain near the river,a crimson two-wheeler climbing the mountain beside the river,1
a silver laptop walking slowly in the garden,a black cat cooking dinner in the garden on a sunny day,0
a blue car reading a book in the city,a navy vehicle reading a book in the city,1
a green tree walking slowly in the city in moonlight,a olive tree pacing slowly in the city in moonlight,1
a blue car reading a book on the mountain at dawn,a red bicycle running in the park on the mountain in the fog,0
a black cat cooking dinner near the river,a black kitty cooking dinner near the river,1
a yellow flower playing music near the river,a yellow flower playing music beside the river,1
a yellow flower swimming in the lake in the city during twilight,a yellow flower cooking dinner at the park,0
a glass window swimming in the lake in the forest,a glass window swimming in the lake in the forest,1
a white house sleeping on the couch near the river in the fog,a white house sleeping upon the couch near the river in the fog,1
a silver laptop climbing the mountain beside the road,a silver laptop climbing the mountain beside the road,1
a red bicycle dancing happily in the garden,a ruby cycle dancing happily in the garden,1
a white house playing music on the mountain,a red bicycle sleeping on the couch near the river,0
a wooden chair climbing the mountain by the lake in the rain,a brown dog climbing the mountain in the city,0
a red bicycle reading a book in the forest,a blue car dancing happily on the beach on a sunny day,0
a white house running in the park in the garden,a glass window reading a book under a tree,0
a yellow flower swimming in the lake on the mountain during sunset,a brown dog playing music at the park,0
a brown dog playing music near the river in moonlight,a wooden chair flying in the sky beside the road,0
a glass window walking slowly on the mountain,"positioned on the mountain, a glass window walking slowly",1
a white house swimming in the lake in the forest,a white house swimming in the lake in the forest,1
a green tree swimming in the lake in the garden under clear sky,a silver laptop sleeping on the couch at the park,0
